OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
222,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Neerabup,Operational,,Natural Gas,330,7,Neerabup,Western Australia,4,115.8021597,-31.6712366
223,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Newman Iron Ore Mine,Operational,,Natural Gas,170,4,Newman,Western Australia,5,119.7085967,-23.3442614
224,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pinjarra Bauxite Mine and Alumina Refinery,Operational,,Natural Gas,280,2,Fairbridge,Western Australia,5,115.9469047,-32.6472896
225,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Ravensthorpe,Operational,,Distillate,56,0,Jerdacuttup,Western Australia,2,120.3600101,-33.6099864
226,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Wagerup Bauxite Mine and Alumina Refinery,Operational,,Natural Gas,98,4,Wagerup,Western Australia,4,115.9170058,-32.9144816
227,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,West Kalgoorlie,Operational,,Distillate,60,2,Feysville,Western Australia,5,121.4233649,-30.7806214
228,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Port Hedland,Operational,,Natural Gas,126,3,Boodarie,Western Australia,5,118.5498097,-20.4282864
229,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mount Magnet,Operational,,Natural Gas,1.9,0,Mount Magnet,Western Australia,5,117.8327212,-28.0870708
230,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kalgoorlie Nickel Smelter,Operational,,Natural Gas,42,1,Feysville,Western Australia,3,121.4841979,-30.8736554
231,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Kambalda,Operational,,Natural Gas,42,1,Kambalda East,Western Australia,5,121.6740941,-31.1919211
232,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Leinster Nickel Mine,Operational,,Natural Gas,59,1,Leinster,Western Australia,4,120.6990061,-27.8141077
233,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mount Keith Nickel Mine,Operational,,Natural Gas,112,2,Wiluna,Western Australia,4,120.5479888,-27.2145694
