OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
438,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Singleton Solar Farm,Operational,Solar Photovoltaic,Solar,0.4,3500,Whittingham,New South Wales,4,151.1812143,-32.5923718
439,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kogarah Town Square Solar Array,Operational,Solar Photovoltaic,Solar,0.2,0,Kogarah,New South Wales,5,151.1331559,-33.9651618
440,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Stadium Australia,Operational,Solar Photovoltaic,Solar,0.1,0,Sydney Olympic Park,New South Wales,4,151.0640447,-33.8451654
441,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mt Gambier,Operational,Cogeneration,Biomass,10,0,Mount Gambier,South Australia,4,140.8057026,-37.8388319
442,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Narrogin Bioenergy Plant,Operational,Cogeneration,Biomass,1,0,Narrogin Valley,Western Australia,5,117.1915916,-32.9521045
443,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Visy Paper Gibson Island,Operational,Cogeneration,Biomass,2,1,Murarrie,Queensland,5,153.1158006,-27.4405007
444,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mica Creek,Operational,Combined Cycle Gas Turbine,Natural Gas,325,10,Mount Isa,Queensland,5,139.4905612,-20.7775856
445,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wilpena Solar Farm,Operational,Solar Photovoltaic,Solar,145,1260,Willow Springs,South Australia,4,138.6197644,-31.5233789
446,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Karadoc Solar Farm,Operational,Solar Photovoltaic,Solar,112,0,Iraak,Victoria,4,142.2520989,-34.4154065
447,Power Station,A facility used for the generation of electrical power for distribution,Renewable,King Island (Currie),Operational,,Distillate,8.6,9,Nugara,Tasmania,5,143.8919705,-39.938772
