Location,postcode,state_code,state_name,LGA_NAME25,latitude,longitude,accuracy,geometry,MaxTemp_mean,MaxTemp_std,MinTemp_mean,MinTemp_std,Rainfall_mean,Rainfall_std,Humidity_mean,Sunshine_mean,WindGustSpeed_mean
Cobar,2835.0,NSW,New South Wales,Cobar,-31.4987,145.8418,4,POINT (1299870.677481043 -3501715.032230019),25.8340810177436,7.95230824861831,13.1203418230563,6.71749496483084,1.12926174496644,4.40930264029308,33.8635572572224,8.67436363636364,36.728813559322
Coffs Harbour,2450.0,NSW,New South Wales,Coffs Harbour,-30.2963,153.1135,4,POINT (1999761.8505155111 -3462156.249029719),23.9155751611809,3.82025789268648,14.3657743137919,5.12761890773356,5.05459183673469,17.4464395746326,62.2373342400544,7.36237424547284,39.232196969697
Dartmoor,3304.0,VIC,Victoria,Glenelg,-37.9222,141.2749,4,POINT (820099.9162786512 -4175664.889344323),19.6944274549779,6.44957928450096,8.61981613891726,4.17199151262828,2.14855392990813,4.98417035934099,62.4577490111471,6.41271491403439,38.8969037087445
Dartmoor,6532.0,WA,Western Australia,Chapman Valley,-28.3989,115.0313,3,POINT (-1637962.840986571 -3192693.478734223),19.6944274549779,6.44957928450096,8.61981613891726,4.17199151262828,2.14855392990813,4.98417035934099,62.4577490111471,6.41271491403439,38.8969037087445
Darwin,800.0,NT,Northern Territory,Darwin,-12.4611,130.8418,4,POINT (-128167.94902989299 -1314923.9318502015),32.540977443609,1.74605434680722,23.2105296145409,2.96862835266104,5.09404761904762,16.4524781876793,51.8300940438872,8.49931012856695,40.5823548079975
Gold Coast,4217.0,QLD,Queensland,Gold Coast,-28.0023,153.4153,3,POINT (2071004.4299881263 -3213248.183579901),25.752970795569,3.40701096417763,17.3414904330312,4.11335977078607,3.72893296853625,12.8287522431423,62.9538720538721,0,42.4725388601036
Hobart,7000.0,TAS,Tasmania,Hobart,-42.8794,147.3294,4,POINT (1288651.8833010748 -4764079.867955904),17.8666771258237,4.99182888860341,9.07914052697616,3.89725683920608,1.60427269871191,4.40816987254031,52.9524409448819,6.57832388153749,47.5313979173241
Katherine,850.0,NT,Northern Territory,Katherine,-14.4652,132.2635,4,POINT (28708.71195387508 -1533000.6527604414),34.939037085231,3.09019764222692,20.5349834983498,5.10735255443712,3.13559870550162,11.3129763539016,42.6105834464043,0,38.7583278902678
Launceston,7250.0,TAS,Tasmania,Launceston,-41.4388,147.1347,4,POINT (1290776.1433727709 -4607415.670285602),18.9562314049587,5.03575328921307,7.83381818181818,4.94464164044079,2.01221854304636,5.39684188488917,57.277391592188,0,35.6308769589863
Melbourne,3000.0,VIC,Victoria,Melbourne,-37.814,144.9633,4,POINT (1146482.2287373838 -4192165.013064561),20.8601479046836,6.06794026278936,11.7881265406738,4.23460034198265,1.83777197563098,5.1886954494285,50.8974464579901,6.46577649958915,45.425444031392
Melbourne Airport,3045.0,VIC,Victoria,Hume,-37.6743,144.8518,4,POINT (1138202.6396528117 -4175831.381017554),20.4918577600532,6.65331340713714,9.97394483217016,4.48192948552059,1.45197740112994,4.59272489048733,51.1713333333333,6.38128324468085,46.9191716766867
Mildura,3500.0,VIC,Victoria,Mildura,-34.1855,142.1625,4,POINT (931358.6754231929 -3768482.2251226376),24.8415364150316,7.73841292716567,10.7339541070835,6.05729473084393,0.945024958402662,5.0547178435338,35.4045954045954,8.46810434782609,37.1708291708292
Moree,2400.0,NSW,New South Wales,Moree Plains,-29.4628,149.8416,4,POINT (1705076.4809906385 -3322341.5648052637),26.8868605466013,6.90781514041848,12.786255259467,6.82288228139731,1.60329630956646,6.51441329117966,35.5847665847666,8.8965903555772,39.7994248741912
